"TestId","Date","Time","Name","Segment","Position","Type","Excluded","Tags","System Weight","Jump Height","Jump Momentum","Countermovement Depth","Braking RFD","Stiffness","Force at Min Displacement","Relative Force at Min Displacement","Avg. Braking Force","Avg. Relative Braking Force","Peak Braking Force","Peak Relative Braking Force","Avg. Propulsive Force","Avg. Relative Propulsive Force","Peak Propulsive Force","Peak Relative Propulsive Force","Unweighting Phase","Unweighting Phase %","Braking Phase","Braking Phase %","Propulsive Phase","Propulsive Phase %","Flight Time","Time To Takeoff","Braking Net Impulse","Propulsive Net Impulse","Positive Impulse","Positive Net Impulse","Impulse Ratio","Avg. Braking Velocity","Peak Braking Velocity","Avg. Propulsive Velocity","Takeoff Velocity","Peak Velocity","Avg. Braking Power","Avg. Relative Braking Power","Peak Braking Power","Peak Relative Braking Power","Avg. Propulsive Power","Avg. Relative Propulsive Power","Peak Relative Propulsive Power","Peak Propulsive Power","L|R Peak Braking Force","Left Force at Peak Braking Force","Right Force at Peak Braking Force","L|R Avg. Braking Force","Left Avg. Braking Force","Right Avg. Braking Force","L|R Peak Propulsive Force","Left Force at Peak Propulsive Force","Right Force at Peak Propulsive Force","L|R Avg. Propulsive Force","Left Avg. Propulsive Force","Right Avg. Propulsive Force","L|R Avg. Braking RFD","Left Avg. Braking RFD","Right Avg. Braking RFD","L|R Braking Impulse Index","L|R Propulsive Impulse Index","Time to Stabilization","Landing Height","Landing Performance Index","Landing Phase","Landing Stiffness","Peak Landing Force","Avg. Landing Force","Relative Peak Landing Force","L|R Peak Landing Force","Left Force at Peak Landing Force","Right Force at Peak Landing Force","L|R Avg. Landing Force","Left Avg. Landing Force","Right Avg. Landing Force","L|R Landing Impulse Index","RSI","mRSI","Braking Impulse","Relative Braking Impulse","Relative Braking Net Impulse","Propulsive Impulse","Relative Propulsive Impulse","Relative Propulsive Net Impulse"
"Xj5YxalUvL4V3dKlEjVl","03/19/2025","14:14:29","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",656.367,0.4163,191.2152,-0.3,8527.1318,-5850.9722,1755,267.3809,1385.0155,211.0124,1755,267.3809,1511.2634,230.2467,1769,269.5139,0.269,43.2476,0.129,20.7395,0.224,36.0129,0.593,0.622,93.4402,192.3578,517.4955,285.7979,2.0586,-0.8681,-1.4042,1.7362,2.8579,2.9485,-1081.1236,-16.1584,-1620.0272,-24.2128,2363.5456,35.3253,61.1445,4091.0534,-3.7037,845,910,-3.8311,665.9767,719.0388,-4.5789,844,925,-3.8145,726.808,784.4554,-6.7273,3976.7442,4550.3876,-7.3637,-7.3575,"N/A",0.4422,1.4941,0.296,-3413.8038,2927,867.0346,445.9395,8.712,1591,1336,9.8739,476.3225,390.712,"N/A",0.9534,0.6693,178.1115,2.662,1.3965,339.384,5.0724,2.875
"yVFT5nJ91FhYkFRHC0Z8","03/19/2025","14:13:00","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",657.101,0.4044,188.675,-0.3071,8723.0769,-5818.0956,1786,271.7999,1398.4769,212.8253,1786,271.7999,1481.5153,225.4623,1791,272.5608,0.244,40.4643,0.13,21.5589,0.229,37.9768,0.585,0.603,95.8059,189.6694,521.3745,285.4752,1.9797,-0.8965,-1.4358,1.7396,2.8168,2.9133,-1120.1125,-16.7224,-1613.8469,-24.0935,2307.5014,34.4492,58.3073,3905.5816,-4.2553,855,931,-6.1704,656.0923,742.3846,-4.6343,854,937,-1.3915,730.4498,751.0655,-5.291,4130.7692,4592.3077,-11.6289,-2.7788,"N/A",0.4313,1.4871,0.29,-3675.758,2869,828.0133,436.6148,-2.6839,1396,1473,-7.8339,381.5738,446.4394,"N/A",0.9701,0.6706,181.229,2.7056,1.4303,340.1455,5.0781,2.8316
"2UV2hDfm5NDmkuCjVsbl","03/11/2025","10:38:38","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",650.532,0.4003,185.8753,-0.2898,8320.3125,-5907.5466,1712,263.1692,1359.5469,208.99,1710,262.8618,1456.9437,223.9619,1719,264.2453,0.334,48.1962,0.128,18.4704,0.231,33.3333,0.575,0.693,90.2144,187.1186,510.874,277.333,2.0742,-0.853,-1.3699,1.7237,2.803,2.9029,-1041.0507,-15.699,-1450.79,-21.8779,2252.885,33.9734,58.4289,3874.6018,-4.0936,820,890,-7.0991,631.5156,728.0313,-3.4322,830,889,-5.7661,686.4675,770.4762,-4.6009,3968.75,4351.5625,-13.2699,-10.8739,"N/A",0.4077,1.4306,0.285,-4375.343,3127,823.6219,480.6835,-8.9862,1423,1704,-13.7038,355.3772,468.2447,"N/A",0.8297,0.5778,173.4825,2.6161,1.3604,337.3915,5.0879,2.8217
"uU2nvcJ74jje5Xj5beXP","03/11/2025","10:37:50","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",650.637,0.3627,176.9617,-0.3089,9094.4882,-5830.5474,1801,276.8057,1371.9685,210.8654,1800,276.652,1412.3519,217.0722,1809,278.0352,0.293,44.8698,0.127,19.4487,0.233,35.6815,0.545,0.653,91.0246,178.3666,503.6205,269.3912,1.9595,-0.8814,-1.3844,1.726,2.6681,2.7983,-1073.8893,-16.1916,-1465.9299,-22.1026,2139.8421,32.2635,53.1785,3527.0024,-6.2222,844,956,-9.7463,619.126,752.8425,-5.3621,856,953,-0.6278,701.7425,710.6094,-7.8788,4188.9764,4905.5118,-17.7716,-1.2917,"N/A",0.3632,1.9627,0.185,-8301.3697,2738,820.9753,420.8184,16.2893,1592,1146,21.3841,498.2666,322.7087,"N/A",0.8346,0.5557,173.6555,2.6183,1.3724,329.965,4.9751,2.6893
"AYm2iNAtPB6C09QOz6Qb","03/11/2025","10:36:13","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",650.531,0.3967,185.0027,-0.3142,8610.2941,-5789.6282,1819,279.6177,1335.5441,205.3006,1816,279.1566,1472.5929,226.3678,1832,281.6161,0.27,42.7215,0.136,21.519,0.226,35.7595,0.577,0.632,92.5703,186.6685,514.731,279.2388,2.0165,-0.9128,-1.412,1.744,2.7898,2.8829,-1079.8255,-16.2838,-1445.6263,-21.8,2280.3264,34.3873,55.9939,3713.1294,-4.4053,868,948,-3.6579,643.3456,692.1985,-3.3843,885,947,-1.5054,725.2124,747.3805,-8.4543,3941.1765,4669.1176,-7.029,-2.9965,"N/A",0.4181,1.3794,0.303,-3429.176,2624,829.9906,403.3628,-13.4146,1136,1488,-0.0316,414.864,415.1266,"N/A",0.913,0.6277,181.0425,2.7301,1.396,333.6885,5.032,2.815
"k3dsmX2vt92ydbzPObc0","03/10/2025","12:52:55","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",658.821,0.3901,185.8157,-0.2936,9100,-6289.8449,1846,280.1975,1346.2692,204.3452,1842,279.5904,1518.8986,230.548,1907,289.4565,0.229,39.7569,0.13,22.5694,0.217,37.6736,0.565,0.576,88.7718,187.5368,504.9195,276.3086,2.1126,-0.8593,-1.3382,1.7408,2.7668,2.8574,-1028.6483,-15.3168,-1440.5081,-21.4495,2335.5455,34.7768,56.2209,3775.6914,-1.3029,909,933,-3.9031,646.8615,699.4077,-1.9402,935,972,-2.8359,737.9124,780.9862,-1.9442,4461.5385,4638.4615,-7.5255,-5.5081,"N/A",0.3876,1.2873,0.301,-4210.4226,2889,817.6695,438.5106,-12.288,1267,1622,-12.8963,356.1102,461.5594,"N/A",0.9809,0.6774,174.4185,2.5971,1.3218,330.501,4.9212,2.7925
"ITGcL98i1vEEXMOm7P1V","03/10/2025","12:50:00","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",657.405,0.3645,179.1746,-0.3081,7458.3333,-5613.3506,1730,263.1559,1277.4722,194.3204,1730,263.1559,1401.3651,213.1662,1745,265.4376,0.286,42.623,0.144,21.4605,0.241,35.9165,0.553,0.671,88.7472,180.1444,521.9925,268.8916,2.0299,-0.8636,-1.3294,1.703,2.6737,2.7977,-978.97,-14.6085,-1319.294,-19.6869,2117.0247,31.5909,52.0718,3489.5251,-4.7399,824,906,-4.8044,608.0486,669.4236,-4.298,835,910,-1.1071,692.9253,708.4398,-12.8492,3250,4208.3333,-9.1252,-2.2169,"N/A",0.382,1.3221,0.289,-4104.5554,2390,870.194,363.5506,-14.3096,1024,1366,-2.1418,425.7783,444.4157,"N/A",0.8241,0.543,183.4135,2.737,1.3243,338.579,5.0524,2.6882
"AykXTnu56aPvbcXOmna2","03/05/2025","10:38:37","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",638.802,0.363,173.7645,-0.2883,9111.1111,-6201.9811,1788,279.8989,1333.1587,208.6967,1788,279.8989,1451.4019,227.2068,1834,287.0999,0.242,41.5808,0.126,21.6495,0.214,36.7698,0.556,0.582,86.9104,174.7774,478.8805,261.6878,2.011,-0.8656,-1.3408,1.7154,2.6685,2.7837,-1017.4944,-15.6255,-1418.359,-21.7816,2183.0329,33.5246,54.8406,3571.0758,-6.1521,839,949,-11.5944,589.2937,743.8651,-5.3435,868,966,-3.358,701.3318,750.0701,0.1742,4563.4921,4547.619,-20.8453,-6.5209,"940",0.3907,1.3421,0.291,-3420.185,2632,830.4106,412.0213,-6.9909,1224,1408,-10.1557,373.0383,457.3723,"18.4478",0.9553,0.6236,167.3995,2.5707,1.3347,311.481,4.7834,2.684
"k7JcvgK2gdc6CqY3wEOd","03/05/2025","10:38:29","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",636.647,0.3332,165.9322,-0.2692,7731.3433,-6220.5244,1675,263.0971,1246.5373,195.7972,1675,263.0971,1441.4029,226.4054,1813,284.7732,0.251,42.4704,0.134,22.6734,0.206,34.8562,0.522,0.591,81.2013,166.6047,464.266,247.806,2.0517,-0.7947,-1.2522,1.662,2.5568,2.6953,-885.6298,-13.6465,-1216.9155,-18.7513,2091.6685,32.2302,54.9479,3565.996,-3.1642,811,864,1.25,631.0597,615.4776,-4.0265,870,943,-1.7947,707.767,733.6359,-9.0734,3514.9254,4216.4179,2.5307,-3.5418,"1050",0.3292,1.3271,0.248,-5175.0212,2488,795.2,390.7974,-8.8424,1134,1354,-1.968,389.7752,405.4248,"3.8694",0.8832,0.5638,166.512,2.5658,1.2512,297.754,4.588,2.5672
"49dPkoaQWZNTgZ0Iron0","03/04/2025","15:22:10","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",650.735,0.3642,177.3469,-0.2807,9731.7073,-6574.2809,1845,283.5256,1366.4228,209.9814,1845,283.5256,1475.4279,226.7325,1893,290.9018,0.261,43.5726,0.123,20.5342,0.215,35.8932,0.557,0.599,87.4256,178.217,485.591,265.6426,2.0385,-0.8492,-1.3217,1.7476,2.6736,2.8026,-1023.639,-15.4316,-1441.7443,-21.7347,2243.8016,33.8259,55.491,3680.9287,-2.0054,904,941,-0.8865,677.1545,689.2683,-1.532,932,961,-0.3256,735.3116,740.1163,-10.2757,4365.8537,5365.8537,-1.6922,-0.6742,"990",0.3912,1.5897,0.246,-4984.8227,2800,836.2657,430.2827,1.6429,1423,1377,5.0995,439.4556,396.8101,"9.7122",0.9299,0.6082,167.466,2.5246,1.318,318.125,4.7958,2.6867
